HIT Index,HIT ID,HITType ID,Document Names
0,3RWO3EJELJ8LEURJAB1L1MNOOVB1PJ,3K1KXTVNBMKZJI3PCNEA4YMJWSSM1N,question-mission12-agent0-explanation,question-mission85-agent0-explanation,question-mission26-agent0-explanation,question-mission74-agent2-explanation
1,3HJ1EVZS2QI20ALDA7JTUA20NXFR3V,3K1KXTVNBMKZJI3PCNEA4YMJWSSM1N,question-mission13-agent0-explanation,question-mission95-agent0-explanation,question-mission75-agent0-explanation,question-mission54-agent0-explanation
2,3SSN80MU8ENST4FW4CHK0E5QZ2NXKD,3K1KXTVNBMKZJI3PCNEA4YMJWSSM1N,question-mission24-agent0-explanation,question-mission94-agent0-explanation,question-mission37-agent0-explanation,question-mission10-agent0-explanation
3,3X2YVV51PW3BY3OKMXFGTGVKHV31W9,3K1KXTVNBMKZJI3PCNEA4YMJWSSM1N,question-mission25-agent2-explanation,question-mission82-agent0-explanation,question-mission52-agent7-explanation,question-mission11-agent0-explanation
4,31JUPBOORP3DY9W6H4HTZF1CXXX8L5,3Q5AG2X64U0F5UJNJ1YZBMTZLW2VMO,question-mission34-agent1-explanation,question-mission84-agent0-explanation,question-mission14-agent0-explanation,question-mission48-agent6-explanation
5,3WPCIUYH1C7DYH027LU07YPU21VTDE,3Q5AG2X64U0F5UJNJ1YZBMTZLW2VMO,question-mission35-agent0-explanation,question-mission92-agent0-explanation,question-mission15-agent0-explanation,question-mission31-agent6-explanation
6,3A520CCNWPZDBRFTXGE3IBHNEP1EAZ,3Q5AG2X64U0F5UJNJ1YZBMTZLW2VMO,question-mission45-agent7-explanation,question-mission81-agent0-explanation,question-mission69-agent0-explanation,question-mission5-agent0-explanation
7,3ATYLI1PRV1AOBVML0UCGMEK8F4OJY,3Q5AG2X64U0F5UJNJ1YZBMTZLW2VMO,question-mission46-agent7-explanation,question-mission91-agent0-explanation,question-mission63-agent8-explanation,question-mission64-agent1-explanation
8,3XH7ZM9YX4TOFCATRGK3LN5MNYW9RJ,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission56-agent0-explanation,question-mission83-agent0-explanation,question-mission79-agent0-explanation,question-mission8-agent0-explanation
9,3511RHPADXDJGEB2GDNTQWWHNTPRLC,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission57-agent0-explanation,question-mission93-agent0-explanation,question-mission47-agent6-explanation,question-mission6-agent1-explanation
10,3R6RZGK0XHBV9KZI8CHTL1NGHE8YV6,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission58-agent4-explanation,question-mission88-agent0-explanation,question-mission41-agent0-explanation,question-mission65-agent2-explanation
11,3BA7SXOG1LPO17RJMOEPLRAB3T68RN,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission59-agent4-explanation,question-mission80-agent0-explanation,question-mission42-agent7-explanation,question-mission66-agent0-explanation
12,3FCO4VKOZ6CVSPHVQD2J8KFXDQC7E0,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission67-agent2-explanation,question-mission87-agent0-explanation,question-mission43-agent0-explanation,question-mission3-agent3-explanation
13,3UOMW19E6F518NJY6THRKC1Y18D5CZ,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission68-agent0-explanation,question-mission90-agent0-explanation,question-mission20-agent3-explanation,question-mission44-agent6-explanation
14,34F34TZU7YYWH46HY2WF99BH7JAJ27,37WXWKHWA0M9LSFEH9RQNU7QJ04HA2,question-mission78-agent2-explanation,question-mission86-agent0-explanation,question-mission7-agent0-explanation,question-mission32-agent0-explanation
